Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Knut,Solheim,Gundersenmoen 2,Jacobsen,4255,Norge,NO,19501215-8578,+47,82049487,1950-12-15,True
Fredrik,Lindström,Fabriksgränd 0,Norrköping,35708,Sverige,SE,19440507-2861,+46,+46 (0)23 92 85 88,1944-05-07,True
Sara,Ayala,Derek Turnpike 3073,Campbellberg,92552,Danmark,DK,19890212-7895,+45,293.549.2901x1461,1989-02-12,True
Monika,Högberg,Fabriksgränd 7,Stockholm,73097,Sverige,SE,19991011-1308,+46,08-436 43 30,1999-10-11,True
Lotta,Myllymäki,Agroksenpolku 150,Salo,79757,Finland,FI,19650418-232X,+358,+358 548751662,1965-04-18,True
Björn,Göransson,Grangränd 8,Landskrona,74689,Sverige,SE,19650603-0804,+46,0365-360 60,1965-06-03,True
Pernilla,Karlsson,Nygatan 3,Linköping,21975,Sverige,SE,19851205-9024,+46,075-442 71 97,1985-12-05,True
Teuvo,Ruotsalainen,Rukoushuoneenbulevardi 548,Veteli,85421,Finland,FI,19671217-6018,+358,0508533681,1967-12-17,True
Lars,Persson,Strandtorget 571,Östersund,73512,Sverige,SE,19980725-9000,+46,080-66 56 15,1998-07-25,True
Eva,Karlsson,Villagatan 9,Kalmar,63310,Sverige,SE,19540118-7494,+46,+46 (0)28 95 81 56,1954-01-18,True
Victor,Olofsson,Furuvägen 9,Halmstad,16144,Sverige,SE,19930528-7332,+46,08-526 13 99,1993-05-28,True
Kevin,Blair,Matthew Squares 6622,Smithborough,86379,Danmark,DK,19510418-0821,+45,001-385-773-1014,1951-04-18,True
Airi,Heikkinen,Capellan puistotie 3,Juuka,28920,Finland,FI,19990510-6759,+358,+358 01 6300178,1999-05-10,True
Lennart,Lindgren,Idrottstorget 6,Landskrona,42366,Sverige,SE,19611204-1421,+46,0284-633 57,1961-12-04,True
Vegard,Thorsen,Knudsenfaret 7D,Dahl,7743,Norge,NO,19910218-1365,+47,46735933,1991-02-18,True
Henry,Johansson,Industritorget 859,Lidingö,84484,Sverige,SE,19980831-4659,+46,08-82 99 35,1998-08-31,True
Mikael,Hiltunen,Lukkarimäenkuja 1,Nakkila,04930,Finland,FI,19630211-0938,+358,+358 31 3807638,1963-02-11,True
Olof,Nordström,Industristigen 6,Ängelholm,25533,Sverige,SE,19450601-6328,+46,08-310 64 46,1945-06-01,True
Gunnar,Andersson,Strandtorget 31,Kristianstad,85225,Sverige,SE,19570524-3618,+46,099-059 45 43,1957-05-24,True
Kjersti,Bøe,Hauglandlunden 01,Kristensen,8506,Norge,NO,19470515-2328,+47,+47 76 04 62 02,1947-05-15,True
Thor,Thorsen,Ellingsenbråten 5C,Jensen,0574,Norge,NO,19581114-2693,+47,14 48 22 22,1958-11-14,True
Lennart,Ljung,Fabriksgatan 9,Kalmar,26128,Sverige,SE,19530131-2852,+46,0352-27 35 20,1953-01-31,True
Daniel,Hjalmarsson,Åkergatan 6,Sundsvall,68168,Sverige,SE,19870219-0288,+46,+46 (0)234 079 03,1987-02-19,True
Marie,Arnesen,Johannessenholtet 918,Torfjord,8253,Norge,NO,19710911-0147,+47,93779497,1971-09-11,True
Caroline,Björk,Strandvägen 8,Stockholm,87553,Sverige,SE,19990209-0816,+46,+46 (0)91 38 70 89,1999-02-09,True
Pierre,Karlsson,Kyrkotorget 041,Borlänge,70987,Sverige,SE,19540928-1302,+46,08-937 382 07,1954-09-28,True
May,Andreassen,Strømgjerdet 6,Mikkelsen,6558,Norge,NO,19581216-3810,47,33495125,1958-12-16,True
Lars,Ekberg,Villagatan 9,Karlstad,63136,Sverige,SE,19740529-7599,+46,004-52 07 08,1974-05-29,True
Amanda,Svensson,Nyvägen 62,Falun,54869,Sverige,SE,19990701-5732,+46,08-52 21 56,1999-07-01,True
Elizabeth,Clark,Sara Lakes 893,Lake Devonmouth,65876,Danmark,DK,19430731-2384,+45,+1-864-680-9410x4273,1943-07-31,True
Margaret,Cooper,Henson Hills 332,North Timothy,68193,Danmark,DK,19680426-4124,+45,001-500-922-2332x936,1968-04-26,True
Barbara,Gonzalez,Bradley Fort 90353,Thompsonmouth,70237,Danmark,DK,19600305-4000,+45,616.631.9446,1960-03-05,True
Ulf,Viklund,Skolstigen 32,Landskrona,66497,Sverige,SE,19680908-2259,+46,+46 (0)03 83 99 31,1968-09-08,True
Patricia,Guzman,Brown Via 975,Taylorview,83805,Danmark,DK,19480620-8677,+45,(623)896-5474x669,1948-06-20,True
Brandon,Johnson,Laura Crescent 24746,Port Darlene,23566,Danmark,DK,19811229-8549,+45,+1-827-270-5115x64478,1981-12-29,True
Kristian,Rantanen,Agnes Sjöbergin bulevardi 7,Tervola,05130,Finland,FI,19690412-8495,+358,0140566502,1969-04-12,True
Elina,Heikkinen,Nervanderinpolku 67,Oulainen,34036,Finland,FI,19690531-120W,+358,020 362 5355,1969-05-31,True
Janne,Laine,Neulapadonkuja 7,Kemiönsaari,89773,Finland,FI,19870703-5783,+358,022 783 7739,1987-07-03,True
Melissa,Wilson,Moyer Crossing 30967,Williamsmouth,26054,Danmark,DK,19550923-4588,+45,4184842338,1955-09-23,True
Rachel,Davis,Figueroa Forges 260,Murrayborough,03417,Danmark,DK,19400923-2840,+45,(241)861-1902,1940-09-23,True
Svein,Helland,Karlsenåsen 166,Fredriksen,2151,Norge,NO,19960416-0519,+47,949 28 592,1996-04-16,True
Marjatta,Lähteenmäki,Sahaajankuja 09,Kokemäki,62283,Finland,FI,19871001-009P,+358,(+358) 644180317,1987-10-01,True
Matthew,Jones,Anthony Square 081,Garrettshire,42386,Danmark,DK,19421002-2781,+45,8452208970,1942-10-02,True
Silje,Andersen,Henriksenlyngen 5,Hannegrunn,8717,Norge,NO,19780306-4367,+47,94710804,1978-03-06,True
Arja,Järvenpää,Jättiläisenpolku 64,Saarijärvi,88739,Finland,FI,19910227-019F,+358,(+358) 854410554,1991-02-27,True
Anna,Vikström,Backgränd 74,Lidingö,30666,Sverige,SE,19760511-5586,+46,+46 (0)200 902 61,1976-05-11,True
Kristina,Svensson,Industrivägen 21,Eskilstuna,21880,Sverige,SE,19650303-4910,+46,08-04 84 17,1965-03-03,True
Stine,Martinsen,Thorsentjernet 4,Johannessen,9271,Norge,NO,19970519-9781,+47,98909950,1997-05-19,True
Märta,Lindblom,Nygatan 76,Ängelholm,65627,Sverige,SE,19500325-4297,+46,061-663 25 94,1950-03-25,True
Karin,Andersson,Asptorget 324,Sundsvall,60522,Sverige,SE,19411113-3752,+46,+46 (0)8 051 988 68,1941-11-13,True
Andreas,Lindqvist,Parkvägen 6,Lund,30702,Sverige,SE,19470525-7600,+46,+46 (0)462 718 22,1947-05-25,True
Emilie,Sivertsen,Aasenåsen 8,Jørgensen,5355,Norge,NO,19670911-1540,+47,99767046,1967-09-11,True
Eirik,Vik,Sørensenmyra 6E,Moen,2356,Norge,NO,19670519-9038,+47,+4704027230,1967-05-19,True
Pentti,Ahonen,Kilpolankatu 754,Alavieska,64042,Finland,FI,19570429-009X,+358,+358 777829517,1957-04-29,True
Tomas,Lindblom,Kyrkostigen 810,Umeå,35355,Sverige,SE,19551214-2119,+46,+46 (0)053 005 26,1955-12-14,True
Anna,Andersson,Björkvägen 5,Karlskrona,36585,Sverige,SE,19440502-4299,+46,0709-143 45,1944-05-02,True
Aud,Berntsen,Tangenstien 407,Ahmed,3717,Danmark,NO,19930813-6026,+47,945 68 197,1993-08-13,True
Aaron,King,Megan Turnpike 164,Albertbury,86687,Danmark,DK,19830720-0640,+45,(604)975-7983,1983-07-20,True
Øyvind,Pettersen,Larsentoppen 57,Perhamn,4665,Norge,NO,19400724-9314,+47,44113523,1940-07-24,True
Else,Jenssen,Aasstien 04,Erikø,5324,Norge,NO,20000108-9672,+47,41940966,2000-01-08,True
Margareta,Nyberg,Fabriksgatan 240,Helsingborg,31524,Sverige,SE,19750811-4681,+46,+46 (0)8 743 217 40,1975-08-11,True
Adrian,Lunde,Amundsenekra 9B,Jensen,1390,Norge,NO,19791208-1458,+47,+47 76 09 32 99,1979-12-08,True
Knut,Johnsson,Ektorget 45,Alingsås,65228,Sverige,SE,19460406-4584,+46,+46 (0)8 904 299 05,1946-04-06,True
Elisabeth,Andersson,Villagränd 51,Piteå,57968,Sverige,SE,19570817-5997,+46,08-93 01 92,1957-08-17,True
Knut,Pettersson,Aspgatan 11,Sandviken,41223,Sverige,SE,19420305-7600,+46,+46 (0)205 291 99,1942-03-05,True
Elsa,Berggren,Backtorget 7,Trollhättan,14616,Sverige,SE,19800316-9154,+46,0967-115 83,1980-03-16,True
Odd,Eide,Eliassenstykket 2,Haraldstad,5749,Norge,NO,19660624-9235,+47,+4708234147,1966-06-24,True
Paul,Jonsson,Fabriksvägen 6,Borås,32497,Sverige,SE,19620718-4649,+46,08-14 63 66,1962-07-18,True
Elisabeth,Johansson,Ringgatan 1,Kalmar,75021,Sverige,SE,19920910-5410,+46,08-589 60 51,1992-09-10,True
Krystal,Wolfe,Darren Fall 2809,South Jasonberg,03579,Danmark,DK,19510601-9965,+45,+1-885-376-1331x06435,1951-06-01,True
Kelly,Wright,Martin Vista 34481,Frenchmouth,40857,Danmark,DK,19660510-8074,+45,282.899.0487,1966-05-10,True
Karen,Hanssen,Paulsensvingen 3,Danielsen,1763,Norge,NO,19580227-5424,+47,918 24 251,1958-02-27,True
Sofie,Hellström,Strandvägen 5,Örebro,54309,Sverige,SE,19770422-0027,+46,+46 (0)03 99 87 00,1977-04-22,True
Rita,Sørensen,Pedersenhagen 4C,Emilievåg,4335,Norge,NO,19691223-6375,+47,476 77 298,1969-12-23,True
Jorunn,Haugland,Nilsengata 28,Lindamark,3907,Norge,NO,19920812-8188,+47,45475540,1992-08-12,True
John,Helland,Nguyengjerdet 38,Linnsand,3528,Norge,NO,19721119-2749,+47,44329658,1972-11-19,True
Thor,Amundsen,Bøeskrenten 87C,Lisehamn,8284,Norge,NO,19870905-4587,+47,+47 15 61 25 96,1987-09-05,True
Anna-Karin,Johansson,Backvägen 7,Mölndal,70658,Sverige,SE,19420226-5047,+46,072-36 18 70,1942-02-26,True
Jon,Tveit,Solbergåsen 9,Strøm,8167,Norge,NO,19970218-8860,+47,+4742650918,1997-02-18,True
Anita,Bengtsson,Bäckgatan 390,Luleå,51035,Finland,SE,19400923-5589,+46,011-869 43 24,1940-09-23,True
Marcus,Strömberg,Gengatan 8,Malmö,60471,Sverige,SE,19400627-5747,+46,049-07 36 91,1940-06-27,True
Evelina,Lindgren,Trädgårdsgatan 390,Umeå,39561,Sverige,SE,19810521-2750,+46,+46 (0)592 077 07,1981-05-21,True
Håvard,Jacobsen,Eriksenmarka 4,Hansen,1966,Norge,NO,19490928-1476,+47,76 87 68 22,1949-09-28,True
Elsa,Persson,Skolstigen 821,Falun,59891,Sverige,SE,19860811-8301,+46,+46 (0)429 558 59,1986-08-11,True
Anette,Nyman,Kyrkvägen 981,Östersund,96945,Sverige,SE,19610208-2089,+46,077-79 08 56,1961-02-08,True
Gerd,Holm,Haughavna 1,Mortenstad,4072,Norge,NO,19620630-0775,+47,+47 84 25 92 84,1962-06-30,True
Derrick,Green,Tamara Mall 266,Danielside,82716,Danmark,DK,19650218-0134,+45,334.338.3468x9698,1965-02-18,True
Stian,Aune,Bergtoppen 79,Karlsen,0322,Norge,NO,19770908-4332,+47,01 99 21 10,1977-09-08,True
Barbro,Larsson,Kyrktorget 0,Växjö,83671,Sverige,SE,19490506-8396,+46,+46 (0)52 22 63 25,1949-05-06,True
Aaron,Williams,Loretta View 615,Port Elizabeth,68530,Danmark,DK,19520523-7946,+45,3789795868,1952-05-23,True
Anna,Dahlgren,Industrivägen 65,Stockholm,55032,Sverige,SE,19400212-4305,+46,08-501 88 65,1940-02-12,True
Gunn,Tangen,Eliassenstranda 08,Moe,4759,Norge,NO,19550715-8784,+47,+4717414797,1955-07-15,True
Michael,Murray,Wagner Glen 884,New Christopher,54533,Danmark,DK,19740425-8347,+45,912.516.1382,1974-04-25,True
Yvonne,Berg,Asptorget 771,Jönköping,47468,Sverige,SE,19660126-7667,+46,+46 (0)8 172 064 49,1966-01-26,True
Linda,Olsson,Industrivägen 663,Falun,48333,Sverige,SE,19430909-9791,+46,+46 (0)70 46 90 39,1943-09-09,True
Carina,Andersson,Villagränd 2,Örebro,70943,Sverige,SE,19630919-2706,+46,08-208 48 54,1963-09-19,True
Elisabeth,Lundberg,Villagränd 1,Kristianstad,16850,Sverige,SE,19440914-4176,+46,001-07 99 99,1944-09-14,True
Maria,Forslund,Skolgatan 0,Karlstad,62512,Sverige,SE,19470223-7309,+46,08-450 08 09,1947-02-23,True
Pekka,Hiltunen,Yrjö-Koskisen tie 18,Karstula,77970,Finland,FI,19420307-779D,+358,(+358) 016179846,1942-03-07,True
Petter,Kristensen,Paulsenengen 986,Knutborg,9657,Norge,NO,19601103-9561,+47,456 19 944,1960-11-03,True
Solveig,Ruud,Olsenkroken 3D,Ingerfjell,3916,Norge,NO,19670825-3242,+47,17 21 01 53,1967-08-25,True
Anna,Johansson,Villatorget 191,Luleå,84169,Sverige,SE,19620415-7179,+46,+46 (0)8 467 426 79,1962-04-15,True
Aukusti,Hiltunen,Agronominbulevardi 57,Toholampi,68481,Finland,FI,19480930-7334,+358,0122309994,1948-09-30,True
Irene,Pettersen,Madsenspranget 1,Gunnarstad,6932,Norge,NO,19590503-0178,+47,+47 03 02 51 41,1959-05-03,True
Otto,Ketola,Pohjolanpolku 4,Veteli,16793,Finland,FI,19661023-038U,+358,(+358) 766800938,1966-10-23,True
Lillemor,Larsson,Ringgränd 341,Mölndal,46712,Sverige,SE,19730716-7764,+46,000-687 70 41,1973-07-16,True
Trine,Hauge,Liengata 5,Solberg,4911,Norge,NO,19430106-6935,+47,+4713518076,1943-01-06,True
Mary,Smith,Graves Route 7458,Lake Elizabeth,58124,Danmark,DK,19701001-8548,+45,658.400.8329,1970-10-01,True
Siv,Olsen,Sivertsenlunden 64F,Simonsen,7213,Norge,NO,19870514-5981,+47,03842735,1987-05-14,True
Åke,Fransson,Ringstigen 4,Falun,62862,Sverige,SE,19970711-0770,+46,0998-766 49,1997-07-11,True
Øyvind,Lie,Eriksenstubben 69A,Sæther,0231,Norge,NO,19910214-4199,+47,18 91 84 81,1991-02-14,True
Kenneth,Johansen,Martinsenfaret 9,Janneberg,8200,Norge,NO,19630624-2775,+47,62807760,1963-06-24,True
Steven,Thompson,Jacobs Mill 80701,Calvinstad,37604,Danmark,DK,19830426-2939,+45,(385)285-9857x84807,1983-04-26,True
Anna,Åberg,Åkergatan 04,Borlänge,93165,Sverige,SE,19840103-2457,46,+46 (0)31 19 87 26,1984-01-03,True
Signe,Näslund,Kyrkgränd 03,Södertälje,13234,Sverige,SE,19820322-5237,+46,+46 (0)930 434 78,1982-03-22,True
Jose,Williamson,Richard Forges 062,Fuentesstad,51878,Danmark,DK,19520222-3357,+45,706-652-9473,1952-02-22,True
Hanne,Olsen,Strandkollen 1,Vildevær,0688,Norge,NO,19470520-7523,+47,+47 85 44 08 88,1947-05-20,True
Erik,Bergström,Kyrkstigen 765,Sandviken,72940,Sverige,SE,19411101-8257,+46,0802-825 95,1941-11-01,True
Karl,Ødegård,Halvorsenroa 424,Pettersen,7205,Norge,NO,19900127-5555,+47,+47 20 42 37 03,1990-01-27,True
Dana,Le,Glover Cape 8468,North Johnview,46161,Danmark,DK,19620122-0375,+45,001-306-220-1602x9580,1962-01-22,True
Sven,Larsson,Strandvägen 64,Södertälje,75421,Sverige,SE,19880629-2357,+46,027-362 86 60,1988-06-29,True
Erik,Karlsson,Backgatan 917,Lund,84589,Sverige,SE,19600817-0143,+46,+46 (0)8 365 727 03,1960-08-17,True
Marianne,Andersson,Parkvägen 088,Helsingborg,96336,Sverige,SE,19411029-5158,+46,08-38 80 91,1941-10-29,True
Christy,Turner,Eileen Inlet 83007,Fisherside,61531,Danmark,DK,19480429-7688,+45,(974)422-0451x70486,1948-04-29,True
Margareta,Lundberg,Industrigränd 22,Östersund,86423,Sverige,SE,19930731-4163,+46,0034-13 21 63,1993-07-31,True
Emelie,Jönsson,Kyrkvägen 695,Alingsås,85465,Sverige,SE,19971114-3169,+46,+46 (0)135 222 58,1997-11-14,True
Iréne,Jonsson,Skoltorget 12,Norrköping,58321,Sverige,SE,19880208-9791,+46,+46 (0)8 494 886 71,1988-02-08,True
Joseph,Nguyen,Bullock Plain 2991,Johnview,32390,Danmark,DK,19670304-8357,+45,+1-714-320-2685x4018,1967-03-04,True
Amanda,Duran,Mason Court 26921,East Kimberly,09740,Danmark,DK,19450922-9035,+45,001-400-487-7226,1945-09-22,True
Elizabeth,Nunez,White Creek 284,Wallsborough,06821,Danmark,DK,19830906-7884,+45,(473)697-3977x7253,1983-09-06,True
Elisabeth,Bergström,Fabriksvägen 820,Trelleborg,74343,Sverige,SE,19700906-2742,+46,+46 (0)8 619 003 72,1970-09-06,True
Derek,Black,Cortez Crossing 008,East Ginaberg,85733,Danmark,DK,19420301-9142,+45,+1-534-619-2630x92968,1942-03-01,True
Magnus,Eriksson,Järnvägsvägen 24,Ängelholm,31019,Sverige,SE,19630326-8013,+46,08-966 54 73,1963-03-26,True
Kim,Sæther,Jørgensenekra 6,Isaksen,1313,Norge,NO,19680129-4509,+47,+4705209731,1968-01-29,True
Kristina,Andersson,Aspgatan 5,Kalmar,76671,Sverige,SE,19610111-4581,+47,+46 (0)52 38 07 42,1961-01-11,True
Anna,Pettersson,Skogsgatan 796,Linköping,88324,Sverige,SE,19680326-0548,+46,08-686 73 71,1968-03-26,True
Henry,Axelsson,Bäckgatan 57,Helsingborg,33092,Sverige,SE,19600302-4975,+46,08-52 68 01,1960-03-02,True
Sonja,Svensson,Industristigen 8,Norrköping,81312,Sverige,SE,19950216-2199,+46,0147-496 67,1995-02-16,True
Fredrik,Iversen,Gulbrandsenengen 98B,Bøe,3748,Norge,NO,19930918-6108,+47,88 40 91 30,1993-09-18,True
Per,Johansson,Backgränd 073,Södertälje,75240,Sverige,SE,19430409-6036,+46,08-421 25 30,1943-04-09,True
Kristine,Sandvik,Aasenskrenten 53,Mikkelsen,5101,Norge,NO,19771024-5761,+47,42341542,1977-10-24,True
Hans,Persson,Björkgatan 82,Sandviken,40086,Sverige,SE,19921226-5138,+46,+46 (0)912 560 56,1992-12-26,True
Helene,Sjöström,Kvarngatan 7,Sundsvall,61971,Sverige,SE,19960730-9322,+46,089-331 56 14,1996-07-30,True
Robert,Wilson,Montoya Extension 1737,Lake Amy,09598,Norge,DK,19580209-8497,+45,800.871.5662x5400,1958-02-09,True
Johan,Eriksson,Skoltorget 987,Motala,10921,Sverige,SE,19950222-5626,+46,+46 (0)667 960 55,1995-02-22,True
Sten,Abrahamsson,Granvägen 6,Uppsala,89770,Sverige,SE,19780316-4186,+46,08-905 030 31,1978-03-16,True
Leif,Nilsson,Asptorget 376,Falun,46886,Sverige,SE,19400311-3028,+46,0963-91 45 92,1940-03-11,True
Gregory,Carpenter,Andrew Manors 241,Christopherbury,57412,Danmark,DK,19670120-4475,+45,001-498-680-7586x4615,1967-01-20,True
Anna,Svendsen,Ellingseneggen 6,Kjetilmark,1675,Norge,NO,19800823-1807,+47,94633227,1980-08-23,True
Jan,Sandström,Björkvägen 858,Helsingborg,62046,Sverige,SE,19840901-9207,+46,0608-74 12 81,1984-09-01,True
Katarina,Gustafsson,Industrivägen 42,Alingsås,41939,Sverige,SE,19870903-9222,+46,+46 (0)16 90 30 20,1987-09-03,True
Ann,Paulsen,Simonsenkollen 36F,Lien,8809,Norge,NO,19450704-8422,+47,+4714932901,1945-07-04,True
Lars,Andersson,Storgatan 50,Helsingborg,99394,Sverige,SE,19600406-4740,+46,08-740 25 18,1960-04-06,True
Adrian,Holm,Bøefaret 5,Sørensen,2662,Norge,NO,19910106-8447,+47,95770522,1991-01-06,True
Mari,Andresen,Engenåsen 510,Kjetilstrøm,6388,Norge,NO,19761218-3549,+47,57 26 70 37,1976-12-18,True
Nils,Olsson,Skolgatan 302,Kristianstad,86699,Sverige,SE,19410708-6120,+46,0567-634 88,1941-07-08,True
Sonja,Eriksson,Grantorget 230,Motala,54253,Sverige,SE,19550119-6649,+46,048-772 43 50,1955-01-19,True
Stephanie,Greene,Li Curve 48741,Lake Williamton,34297,Danmark,DK,19670106-1958,+45,001-855-952-7299x92723,1967-01-06,True
James,Mason,Scott Forge 07857,Robertside,42387,Danmark,DK,19971104-0091,+45,001-385-345-2084x49001,1997-11-04,True
Ingela,Holmström,Skolvägen 92,Lund,23520,Sverige,SE,19960211-1400,+46,0240-568 31,1996-02-11,True
Jenny,Skoglund,Ängstorget 517,Halmstad,97580,Sverige,SE,19600702-9011,+46,08-06 20 49,1960-07-02,True
Ellen,Hansen,Moeskogen 1B,Arildsand,5231,Norge,NO,19620325-8722,+47,941 67 323,1962-03-25,True
Ann-Mari,Lundgren,Grangränd 886,Ängelholm,11022,Sverige,SE,19840418-4040,+46,092-717 74 65,1984-04-18,True
Sigrid,Martinsen,Sætherstien 10,Alfeid,0269,Norge,NO,19680627-2957,+47,422 66 899,1968-06-27,True
Jens,Aas,Evensenlyngen 5,Audås,6243,Norge,NO,19580211-3958,+46,28835446,1958-02-11,True
Katrina,Osborn,Eric Walk 57866,Johnport,34838,Danmark,DK,19920108-4679,+45,386-417-4812,1992-01-08,True
Tellervo,Niskanen,Santerlanbulevardi 137,Rautavaara,65632,Finland,FI,19830821-306H,+358,+358 413152589,1983-08-21,True
Mette,Jacobsen,Jakobsenmarka 5,Larssand,2946,Norge,NO,19780924-8899,47,31 69 71 54,1978-09-24,True
Sara,Mcdonald,Ramirez Place 13959,Lawsonborough,69896,Danmark,DK,19621106-2781,+45,878.839.6792,1962-11-06,True
Heather,Jacobs,Barber Stream 43635,Conwayport,28238,Danmark,DK,19840730-5757,+45,+1-733-864-9629x2842,1984-07-30,True
Kristen,Jones,Penny Track 03333,Garciaberg,95696,Danmark,DK,19610222-0402,+45,586-550-2709,1961-02-22,True
Synnøve,Isaksen,Lienvollen 3,Hanssen,0336,Norge,NO,19471222-5517,+47,45460218,1947-12-22,True
Solveig,Sørensen,Knudsenkollen 1,Gretesund,7697,Norge,NO,19760718-9387,+47,+4727963946,1976-07-18,True
Ida,Andersson,Fabriksgränd 412,Lund,12734,Sverige,SE,19560427-4373,+46,+46 (0)27 94 96 56,1956-04-27,True
Jack,Jensen,Stone Roads 9211,Allenport,78264,Danmark,DK,19800915-2818,+45,667.766.5271,1980-09-15,True
Margareta,Nurminen,Nelikkobulevardi 8,Kaustinen,13646,Finland,FI,19901102-675B,+358,+358 37 1930239,1990-11-02,True
Malin,Nordin,Ängsstigen 88,Alingsås,43793,Sverige,SE,19841224-1668,+46,063-88 86 83,1984-12-24,True
Anders,Sørensen,Andresenskogen 2,Ritamark,3865,Norge,NO,19740212-2606,+47,950 70 843,1974-02-12,True
Juhani,Koskela,Santerlantie 86,Jomala,57665,Finland,FI,19430201-4678,+358,086 055 5756,1943-02-01,True
Linnea,Axelsson,Björkstigen 4,Nyköping,56647,Sverige,SE,19780901-4616,+46,012-613 15 87,1978-09-01,True
Joel,Williams,James Villages 4395,New Karenmouth,63880,Danmark,DK,19920918-1636,+45,533.969.1287,1992-09-18,True
Anna,Sjöström,Strandvägen 1,Södertälje,71792,Sverige,SE,19850808-2763,+46,+46 (0)539 475 58,1985-08-08,True
Aud,Jensen,Olsenflata 9,Sæther,4913,Norge,NO,19550124-6657,+47,28 07 88 12,1955-01-24,True
Gunnar,Lindqvist,Skolvägen 47,Stockholm,81589,Sverige,SE,19560905-1621,+46,08-132 155 27,1956-09-05,True
Anders,Fredriksson,Ängsgatan 1,Karlstad,63852,Sverige,SE,19910717-5510,+46,004-69 76 73,1991-07-17,True
Karl,Pettersson,Järnvägsvägen 968,Motala,59992,Sverige,SE,19530922-1884,+46,+46 (0)8 389 433 48,1953-09-22,True
Eva,Knutsen,Madsentoppen 05,Fredriksen,9892,Norge,NO,19690116-8092,+47,913 96 293,1969-01-16,True
Lars,Berg,Backtorget 550,Nyköping,65611,Sverige,SE,19611214-8109,+46,+46 (0)03 12 69 09,1961-12-14,True
Frank,Hanssen,Lundestien 676,Andreaås,1954,Norge,NO,19940718-1847,+47,69641320,1994-07-18,True
Joshua,Yu,Anthony Cove 905,South Robert,67522,Danmark,DK,19671027-7048,+45,+1-996-248-7783,1967-10-27,True
Jonathan,Williams,Amy Courts 52874,Brandonbury,62942,Danmark,DK,19960425-1747,+45,954.874.1914x427,1996-04-25,True
Jessica,Mcpherson,Stacy Lakes 3858,Duncanland,96626,Danmark,DK,19761114-1286,+45,940-277-8775,1976-11-14,True
Harri,Asikainen,Hannukselanpolku 62,Lempäälä,30230,Finland,FI,19930213-243K,+358,0057998274,1993-02-13,True
Linnea,Ikonen,Urheilukuja 7,Uurainen,34463,Finland,FI,19410929-7758,+358,(+358) 385537399,1941-09-29,True
Anna,Olsson,Kvarnstigen 649,Kristianstad,83643,Sverige,SE,19850720-6187,+46,+46 (0)85 51 89 29,1985-07-20,True
Christopher,Ramirez,Marks Grove 081,Matthewstad,09061,Danmark,DK,19640821-7904,+45,999-414-1933x7850,1964-08-21,True
Susanna,Korpela,Elimäenkuja 72,Pirkkala,21042,Finland,FI,19521111-0226,+358,019 639 6903,1952-11-11,True
Sven,Haglund,Ringstigen 694,Mölndal,60063,Sverige,SE,19870805-5646,+46,055-33 70 38,1987-08-05,True
Juhani,Lindgren,Skolgatan 62,Trollhättan,20831,Sverige,SE,19510727-4258,+46,+46 (0)8 154 087 78,1951-07-27,True
Maria,Hanssen,Sørensenlunden 73,Geirborg,9252,Norge,NO,19531023-3244,+47,93653208,1953-10-23,True
Peter,Magnusson,Trädgårdsgränd 01,Södertälje,41069,Sverige,SE,20000702-0156,+46,+46 (0)707 356 14,2000-07-02,True
Jørgen,Berg,Nilseneggen 418,Arildsjøen,1759,Norge,NO,19770331-6456,+47,+4722475932,1977-03-31,True
Josefin,Andersson,Aspgränd 4,Motala,43501,Sverige,SE,19730614-9384,+46,08-829 57 71,1973-06-14,True
Regina,Snyder,Thompson Meadows 681,Vincentview,94303,Danmark,DK,19690519-9521,+45,899.716.3058,1969-05-19,True
Sondre,Aune,Gundersenengen 1,Birkeland,9676,Norge,NO,19981216-7351,+47,91181526,1998-12-16,True
Billy,Decker,James Manor 48746,Brownstad,78388,Danmark,DK,19790524-0619,+45,240-506-2328,1979-05-24,True
Maria,Johansson,Gentorget 2,Gävle,87530,Sverige,SE,19701001-0266,+46,072-04 19 22,1970-10-01,True
Erik,Andersson,Ängsgränd 3,Örnsköldsvik,38074,Sverige,SE,19681114-0892,+46,08-451 14 90,1968-11-14,True
Trine,Hansen,Evensenskrenten 526,Antonsen,1340,Norge,NO,19990826-8238,+47,45805307,1999-08-26,True
Tomas,Hellström,Stationsgatan 36,Södertälje,65948,Sverige,SE,19910612-9321,+46,08-84 75 68,1991-06-12,True
Yngve,Nilsson,Kyrkvägen 2,Södertälje,97759,Sverige,SE,19451013-5859,+46,08-357 99 89,1945-10-13,True
Katarina,Svensson,Idrottsstigen 750,Sandviken,38214,Sverige,SE,19770306-7663,+46,08-602 482 20,1977-03-06,True
Hans,Berg,Lieholtet 6,Karlsen,0128,Norge,NO,19990109-8084,+47,36897561,1999-01-09,True
Irene,Hansson,Ringvägen 01,Karlskoga,34719,Sverige,SE,19790101-4628,+46,0152-986 00,1979-01-01,True
Sarah,Sims,Pierce Branch 3972,Port Jessica,88689,Danmark,DK,19510402-2038,+45,499.370.4911x12443,1951-04-02,True
Lisa,Ottosson,Villastigen 84,Linköping,56596,Sverige,SE,19490414-5071,+46,08-855 70 77,1949-04-14,True
